vref,3458B_volt,3458F_volt
-10.0,-10.00009306,-10.00001204
-9.5,-9.500088939,-9.500011033
-9.0,-9.000085342,-9.00001081
-8.5,-8.500081862,-8.500010527
-8.0,-8.00007784,-8.000009769
-7.5,-7.500074448,-7.500009412
-7.0,-7.000069957,-7.000008579
-6.5,-6.500067093,-6.500008668
-6.0,-6.000063071,-6.000008014
-5.5,-5.500059196,-5.500007805
-5.0,-5.000055086,-5.000006839
-4.5,-4.500051577,-4.500006779
-4.0,-4.000048053,-4.000006169
-3.5,-3.500043899,-3.50000547
-3.0,-3.000040303,-3.000005009
-2.5,-2.500036149,-2.500004712
-2.0,-2.000032478,-2.000004726
-1.5,-1.50002831,-1.500004116
-1.0,-1.000024214,-1.000003388
-0.5,-0.5000203243,-0.5000027485
0.0,-1.72552406e-05,-3.431089789e-06
0.5,0.499987793,0.4999981588
1.0,0.9999929732,1.000000239
1.5,1.499998784,1.500002527
2.0,2.000004023,2.000004548
2.5,2.500009437,2.500006598
3.0,3.000014925,3.000008559
3.5,3.500020443,3.50001058
4.0,4.000026268,4.000012883
4.5,4.5000318,4.500014918
5.0,5.000036892,5.000016909
5.5,5.50004263,5.500019079
6.0,6.000047986,6.000021248
6.5,6.500053796,6.500023283
7.0,7.000059241,7.000025363
7.5,7.500064655,7.500027354
8.0,8.000070246,8.000029746
8.5,8.500076057,8.500032153
9.0,9.000081222,9.000034129
9.5,9.500086857,9.50003664
10.0,10.00009236,10.00003841
