vref,3458A_volt,3458B_volt,3458P_volt
-10.0,-10.00001186,-10.00002416,-9.999943986
-9.5,-9.500012007,-9.500024066,-9.499946719
-9.0,-9.000011827,-9.000023929,-8.999949852
-8.5,-8.500012103,-8.50002366,-8.499952837
-8.0,-8.000011922,-8.000023494,-7.999955347
-7.5,-7.500012065,-7.500023577,-7.499958718
-7.0,-7.000012297,-7.000023015,-6.999961168
-6.5,-6.500012749,-6.50002323,-6.499964138
-6.0,-6.000011979,-6.000022462,-5.999967034
-5.5,-5.50001227,-5.500022589,-5.499970256
-5.0,-5.000012929,-5.00002276,-4.999973553
-4.5,-4.500012807,-4.500022286,-4.499976419
-4.0,-4.000012155,-4.000021635,-3.999979062
-3.5,-3.500012534,-3.500021323,-3.499982299
-3.0,-3.000012766,-3.000021156,-2.999985344
-2.5,-2.500012806,-2.500020638,-2.499988358
-2.0,-2.000012861,-2.00002056,-1.999991937
-1.5,-1.500013019,-1.500020115,-1.499994477
-1.0,-1.000013118,-1.000019904,-0.9999977139
-0.5,-0.5000129517,-0.5000189903,-0.5000003571
0.0,-1.162197019e-05,-1.710863703e-05,-2.020035547e-06
0.5,0.499989148,0.4999842452,0.4999956338
1.0,0.9999892551,0.9999844556,0.9999926786
1.5,1.499988965,1.499984769,1.499989768
2.0,1.999988954,1.999985243,1.999986991
2.5,2.499988545,2.49998516,2.499983071
3.0,2.999988741,2.999985722,2.999980591
3.5,3.499988494,3.499986358,3.49997765
4.0,3.999988425,3.999986802,3.999974814
4.5,4.499988517,4.499987482,4.499971948
5.0,4.999988286,4.999987956,4.999969008
5.5,5.499988098,5.499987844,5.499965666
6.0,5.999987425,5.999988157,5.999962652
6.5,6.499987487,6.49998869,6.499959652
7.0,6.999987521,6.999989267,6.99995695
7.5,7.499987702,7.499989638,7.499953578
8.0,7.999987146,7.999989658,7.999950683
8.5,8.499986399,8.499990279,8.499947297
9.0,8.999987272,8.999991149,8.999944832
9.5,9.499986996,9.499991682,9.499941981
10.0,9.999987103,9.999991833,9.999939159
