# INL run# wait_settle = 30# samples_per_meter_per_step = 5# NPLC = 100vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.999963904,-11.000023606000001,-10.9999872
-10.75,-10.749964407999999,-10.7500238,-10.749987
-10.5,-10.499965036,-10.500023154,-10.499987200000001
-10.25,-10.249965644000001,-10.250023169999999,-10.249987
-10.0,-9.9999667454,-10.000022831999999,-9.999987200000001
-9.75,-9.7499671852,-9.7500226646,-9.749987
-9.5,-9.4999683004,-9.5000224168,-9.4999872
-9.25,-9.2499689994,-9.250022124600001,-9.249987
-9.0,-8.999969451199998,-9.000021882799999,-8.999988
-8.75,-8.7499700118,-8.750021414799999,-8.749987
-8.5,-8.4999710652,-8.5000216562,-8.4999868
-8.25,-8.2499719618,-8.250021203,-8.249987
-8.0,-7.9999732736,-8.0000212924,-7.9999877999999995
-7.75,-7.749975125200001,-7.7500224778,-7.749989
-7.5,-7.4999759304,-7.5000222622,-7.499989
-7.25,-7.2499766122,-7.2500219848,-7.249989
-7.0,-6.9999771788,-7.000021605,-6.999988999999999
-6.75,-6.7499781374,-6.7500215594,-6.749988800000001
-6.5,-6.499978763,-6.500021191,-6.4999892
-6.25,-6.249979704,-6.2500206586000004,-6.249989
-6.0,-5.9999804,-6.000020430999999,-5.9999892
-5.75,-5.7499812586,-5.7500203618,-5.749989599999999
-5.5,-5.4999821198,-5.5000199994,-5.4999892
-5.25,-5.2499828310000005,-5.250019728,-5.2499894
-5.0,-4.9999836392,-5.0000191958,-4.99999
-4.75,-4.7499850956,-4.7500193026,-4.74999
-4.5,-4.4999858362000005,-4.5000190367999995,-4.49999
-4.25,-4.249986842,-4.250018906,-4.24999
-4.0,-3.9999875914,-4.0000188662,-3.99999
-3.75,-3.7499879872000004,-3.7500183984000004,-3.7499899999999995
-3.5,-3.499989096,-3.5000181446000003,-3.4999902
-3.25,-3.2499899104,-3.2500179227999997,-3.2499902
