time,W4950_volt
1693560606.8514073,-0.0
1693560625.1721532,0.0
1693560643.4937005,0.0
1693560661.8197114,0.0
1693560680.1409843,0.0
1693560698.4620185,0.0
1693560716.7829502,0.0
1693560735.1036224,0.0
1693560753.4241924,0.0
1693560771.7446012,0.0
1693560790.0649889,0.0
1693560808.386182,0.0
1693560826.7123082,0.0
1693560845.0332072,0.0
1693560863.3536353,0.0
1693560881.6746051,0.0
1693560899.9948611,0.0
1693560918.3160791,0.0
1693560936.6370995,0.0
1693560954.9569192,0.0
1693560973.277602,0.0
1693560991.5980604,0.0
1693561009.9233654,0.0
1693561028.2438083,-0.0
1693561046.5640635,0.0
1693561064.884987,0.0
1693561083.2061768,0.0
1693561101.527109,0.0
1693561119.8470383,0.0
1693561138.1725216,0.0
1693561156.4935741,0.0
1693561174.8139355,0.0
1693561193.1350107,0.0
1693561211.4556901,0.0
1693561229.7761135,0.0
1693561248.0970469,0.0
1693561266.4181075,0.0
1693561284.7380707,0.0
1693561303.0580897,0.0
1693561321.3779635,0.0
1693561339.6995516,0.0
1693561358.0205996,0.0
1693561376.3415565,0.0
1693561394.6627414,0.0
1693561412.983939,0.0
1693561431.3050134,0.0
1693561449.6265945,0.0
1693561467.9480977,0.0
1693561486.2691739,0.0
1693561504.5903277,0.0
1693561522.9108331,0.0
1693561541.2315066,0.0
1693561559.5526998,0.0
1693561577.8736079,0.0
1693561596.1945426,0.0
1693561614.5155463,0.0
1693561632.836234,0.0
1693561651.1567762,0.0
1693561669.477452,0.0
1693561687.7986476,0.0
1693561706.1199813,0.0
1693561724.4405835,0.0
1693561742.7610364,0.0
1693561761.0815399,0.0
1693561779.4024189,0.0
1693561797.723056,0.0
1693561816.04432,-0.0
1693561834.3647614,0.0
1693561852.6862679,0.0
1693561871.007373,0.0
1693561889.3283932,0.0
1693561907.6494331,0.0
1693561925.9704957,0.0
1693561944.2915714,0.0
1693561962.6125722,0.0
1693561980.9334223,0.0
1693561999.254539,1e-06
1693562017.5755367,0.0
1693562035.896754,0.0
1693562054.2180815,0.0
1693562072.538502,1e-06
1693562090.859985,0.0
1693562109.1809497,0.0
1693562127.502204,0.0
1693562145.8279834,0.0
1693562164.1493444,-0.0
1693562182.4700513,0.0
1693562200.791085,-0.0
1693562219.1121497,0.0
1693562237.4330518,0.0
1693562255.754324,0.0
1693562274.0753555,0.0
1693562292.396359,0.0
1693562310.7174814,0.0
1693562329.0379386,0.0
1693562347.358257,0.0
1693562365.6798995,1e-06
1693562384.0004334,0.0
1693562402.321251,0.0
1693562420.6425126,0.0
1693562438.9635756,0.0
1693562457.2847216,0.0
1693562475.6059623,0.0
1693562493.926969,0.0
1693562512.2476032,1e-06
1693562530.5680037,1e-06
1693562548.8894558,0.0
1693562567.209729,0.0
1693562585.5301473,0.0
1693562603.851499,0.0
1693562622.1724536,0.0
1693562640.4929771,1e-06
1693562658.8139288,0.0
1693562677.1343327,1e-06
1693562695.4543812,0.0
1693562713.7742758,0.0
1693562732.0945418,0.0
1693562750.414737,0.0
1693562768.734878,0.0
1693562787.061228,0.0
1693562805.3818018,0.0
1693562823.7020214,0.0
1693562842.0230708,0.0
1693562860.3435755,1e-06
1693562878.664087,0.0
1693562896.984342,0.0
1693562915.305173,0.0
1693562933.6249964,0.0
1693562951.9448447,0.0
1693562970.2656872,0.0
1693562988.586207,0.0
1693563006.906378,0.0
1693563025.2264447,0.0
1693563043.5470626,0.0
1693563061.8677156,-0.0
1693563080.1888921,-0.0
1693563098.5095503,-0.0
1693563116.8297517,0.0
1693563135.1503396,0.0
1693563153.4711456,0.0
1693563171.7915797,0.0
1693563190.1119928,0.0
1693563208.4328,0.0
1693563226.752864,0.0
1693563245.0730877,0.0
1693563263.3948224,0.0
1693563281.7151034,-0.0
1693563300.0348794,-0.0
1693563318.3553028,0.0
1693563336.6762342,0.0
1693563354.9962957,0.0
1693563373.316161,-0.0
1693563391.636457,-0.0
1693563409.9616015,0.0
1693563428.2826014,-0.0
1693563446.6087494,0.0
1693563464.9297628,-0.0
1693563483.250724,0.0
1693563501.5715878,0.0
1693563519.8928773,0.0
1693563538.2137809,0.0
1693563556.533961,0.0
1693563574.855027,0.0
1693563593.1760855,0.0
1693563611.4971488,0.0
1693563629.8180892,0.0
1693563648.139017,0.0
