# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394196,25.991
16384,-10.07883125,25.99
32768,-9.753724807,25.988
49152,-9.428616158,25.987
65536,-9.103506478,25.986
81920,-8.778397092,25.985
98304,-8.4532908,25.983
114688,-8.128180972,25.982
131072,-7.803072029,25.981
147456,-7.477965589,25.979
163840,-7.152856204,25.978
180224,-6.827746818,25.977
196608,-6.50263758,25.976
212992,-6.177529372,25.974
229376,-5.852419103,25.973
245760,-5.527312811,25.972
