vref,3458A_volt,7081_volt
-10.0,-10.00000387,-10.0000805
-9.5,-9.500002313,-9.5000722
-9.0,-9.000001864,-9.0000686
-8.5,-8.500002019,-8.5000647
-8.0,-8.000001482,-8.0000623
-7.5,-7.500002463,-7.5000583
-7.0,-7.000003016,-7.0000544
-6.5,-6.500002714,-6.5000513
-6.0,-6.000002516,-6.0000473
-5.5,-5.50000217,-5.5000441
-5.0,-5.000002296,-5.0000402
-4.5,-4.500002466,-4.500037
-4.0,-4.000002444,-4.0000328
-3.5,-3.500002555,-3.5000295
-3.0,-3.000002445,-3.0000262
-2.5,-2.500002261,-2.5000226
-2.0,-2.000002682,-2.0000194
-1.5,-1.500002498,-1.5000153
-1.0,-1.000002226,-1.0000119
-0.5,-0.5000022191,-0.5000077
0.0,-1.179840437e-06,-3.1e-06
0.5,0.4999996824,0.5000016
1.0,0.9999997188,1.0000053
1.5,1.499999681,1.5000085
2.0,2.000000131,2.0000126
2.5,2.499999297,2.5000156
3.0,2.999999451,3.0000199
3.5,3.499999561,3.5000236
4.0,3.999999465,4.0000269
4.5,4.499999546,4.5000309
5.0,4.999999213,5.000034
5.5,5.499999309,5.5000368
6.0,5.999998976,6.0000414
6.5,6.499999057,6.5000452
7.0,6.999999049,7.0000484
7.5,7.499999675,7.5000528
8.0,7.999999092,8.0000565
8.5,8.499999129,8.5000603
9.0,8.999999032,9.0000638
9.5,9.499999305,9.5000681
10.0,9.999999695,10.0000703
